"ID";"AZWBranches";"Perioden";"TevredenMetWerk_1";"VeelTeHoog_3";"Goed_4";"VeelTeLaag_5";"TrotsOpDeOrganisatie_17"
"71";"800028 ";"2019KW04";"    77.8";"    49.4";"    50.2";"     0.4";"    58.3"
"72";"800028 ";"2020KW02";"";"";"";"";"       ."
"73";"800028 ";"2020KW04";"    81.3";"    40.1";"    58.7";"     1.3";"       ."
"74";"800028 ";"2021KW02";"    80.1";"    41.3";"    57.3";"     1.5";"    59.6"
"75";"800028 ";"2021KW04";"    73.4";"    46.3";"    52.7";"     1.0";"    58.1"
"76";"800028 ";"2022KW02";"    69.9";"    51.7";"    47.0";"     1.3";"       ."
"77";"800028 ";"2022KW04";"    75.6";"    41.9";"    57.0";"     1.1";"    56.9"
"78";"800028 ";"2023KW02";"    72.0";"    46.4";"    51.9";"     1.6";"       ."
"79";"800028 ";"2023KW04";"    74.6";"    38.4";"    60.3";"     1.3";"    59.6"
"80";"B000116";"2019KW02";"    74.2";"    46.2";"    52.1";"     1.6";"       ."
"81";"B000116";"2019KW04";"    75.7";"    47.9";"    51.0";"     1.1";"    56.3"
"82";"B000116";"2020KW02";"";"";"";"";"       ."
"83";"B000116";"2020KW04";"    76.2";"    40.0";"    59.1";"     1.0";"       ."
"84";"B000116";"2021KW02";"    79.3";"    44.5";"    54.1";"     1.4";"    57.1"
"85";"B000116";"2021KW04";"    75.2";"    41.2";"    57.5";"     1.3";"    58.0"
"86";"B000116";"2022KW02";"    70.9";"    50.8";"    48.1";"     1.1";"       ."
"87";"B000116";"2022KW04";"    73.2";"    43.8";"    55.1";"     1.2";"    54.5"
"88";"B000116";"2023KW02";"    69.2";"    51.3";"    48.1";"     0.7";"       ."
"89";"B000116";"2023KW04";"    75.9";"    39.8";"    58.6";"     1.6";"    59.5"
"90";"427300 ";"2019KW02";"    78.3";"    43.0";"    55.6";"     1.4";"       ."
"91";"427300 ";"2019KW04";"    75.8";"    52.0";"    47.1";"     1.0";"    59.8"
"92";"427300 ";"2020KW02";"";"";"";"";"       ."
"93";"427300 ";"2020KW04";"    77.8";"    42.8";"    56.5";"     0.8";"       ."
"94";"427300 ";"2021KW02";"    77.7";"    47.5";"    51.3";"     1.2";"    57.4"
"95";"427300 ";"2021KW04";"    69.7";"    57.0";"    42.5";"     0.5";"    57.7"
"96";"427300 ";"2022KW02";"    67.9";"    61.0";"    37.9";"     1.1";"       ."
